,latitude,longitude,Average_volume,borough
0,40.77114850434783,-73.95774945652174,15.731237202805074,Manhattan
1,40.72324263448276,-73.99412851724138,8.564282687421029,Manhattan
2,40.83792307142857,-73.93884095714286,5.381679882329945,Manhattan
3,40.75552764,-73.976742615,17.059120819399052,Manhattan
4,40.807722717241376,-73.95469977241379,4.117170429013482,Manhattan
5,40.84910917857143,-73.93371616428571,6.035802454071043,Manhattan
6,40.70548720833333,-74.01277605833333,8.879593728596577,Manhattan
7,40.773662725,-73.98728173333333,17.25236831822288,Manhattan
8,40.74165208181818,-73.99240373636363,13.476867400555792,Manhattan
9,40.80213490952381,-73.93731494761904,15.919684235383029,Manhattan
10,40.76120807272727,-74.00165550909091,5.160871342990225,Manhattan
11,40.76200009,-73.96601058,24.36317016585751,Manhattan
12,40.78740834736842,-73.95072782631578,13.163537042803943,Manhattan
13,40.79716908421052,-73.96818662631578,15.212906964849244,Manhattan
14,40.7360497,-73.97458574999999,67.35634060182963,Manhattan
15,40.864826375,-73.9257979125,8.133867601259984,Manhattan
16,40.71085146666667,-73.99184995555555,12.533566422694912,Manhattan
17,40.738959208,-74.004357332,10.774375033675003,Manhattan
18,40.76714689090909,-73.98307479090909,11.496812230044132,Manhattan
19,40.71353359,-74.00560302666666,9.954710723071361,Manhattan
20,40.730173071875,-73.981703815625,11.708459937347037,Manhattan
21,40.7826884,-73.97314044,36.343253430705445,Manhattan
22,40.826329512499996,-73.942412146875,9.873977384619982,Manhattan
23,40.71964253125,-73.9863715875,19.20413057615729,Manhattan
24,40.72681173846154,-74.00790985384614,23.931029670561745,Manhattan
25,40.742054653333334,-73.98171684,21.04816498897874,Manhattan
26,40.76029988333333,-73.98874757222222,20.58661262470484,Manhattan
27,40.84484243684211,-73.93851875263158,5.154944768561201,Manhattan
28,40.74990522857143,-74.00006400714285,13.810437995542289,Manhattan
29,40.8571583,-73.9302753117647,5.986403469929221,Manhattan
30,40.73334622,-73.99182143,11.032311541119995,Manhattan
31,40.72006310454545,-74.00117536818182,13.461968222614063,Manhattan
32,40.77751171818182,-73.96417513636364,10.537519941197912,Manhattan
33,40.8098921,-73.96323626363636,6.33223399393581,Manhattan
34,40.747954633333336,-73.9768789,6.189279557535465,Manhattan
35,40.71835740666667,-74.01064904666666,20.274879153891213,Manhattan
36,40.75820806363637,-73.9576636090909,32.07354491484031,Manhattan
37,40.827055592307694,-73.94813348461538,8.511978138359162,Manhattan
38,40.749920233333334,-73.96860243333333,53.50016061575838,Manhattan
39,40.80619932857143,-73.9451108,9.71947365443659,Manhattan
40,40.75172372307692,-73.98393127692307,12.642355687471325,Manhattan
41,40.79973502727273,-73.94909857272728,15.539840687651731,Manhattan
42,40.76436153125,-73.97298804375,12.472838774792605,Manhattan
43,40.71161262631579,-73.99800275263158,4.58860204826394,Manhattan
44,40.781163564705885,-73.98223223529412,9.058000521997362,Manhattan
45,40.81752149,-73.94689587,8.143203228455349,Manhattan
46,40.72529797,-74.00227808,10.619534544440784,Manhattan
47,40.7436237,-73.98718335238095,11.755272061572681,Manhattan
48,40.8713704,-73.9124744,13.193392377747305,Manhattan
49,40.84009134,-73.94615216,46.518002327749436,Manhattan
