,latitude,longitude,award,borough
0,40.786648625,-73.941137875,999.999999,MANHATTAN
1,40.715627166666664,-73.99139466666666,999.999999,MANHATTAN
2,40.83899331578947,-73.93829721052631,999.999999,MANHATTAN
3,40.745499076923075,-73.97890446153846,999.9999989999999,MANHATTAN
4,40.8002978,-73.964964,999.999999,MANHATTAN
5,40.77333354545455,-73.98601636363637,974.025973051948,MANHATTAN
6,40.8152026,-73.95403506666666,999.999999,MANHATTAN
7,40.854243,-73.927362,999.9999990000001,MANHATTAN
8,40.76391696153846,-73.96098092307693,999.9999989999999,MANHATTAN
9,40.72607257142857,-73.97901280952381,999.999999,MANHATTAN
10,40.7047848,-74.01174759999999,999.999999,MANHATTAN
11,40.78749279411765,-73.97177426470589,999.9999990000001,MANHATTAN
12,40.74387375,-73.998939775,974.9999990250001,MANHATTAN
13,40.795392647058826,-73.94491726470588,999.9999990000001,MANHATTAN
14,40.71985440625,-73.97787159375,999.999999,MANHATTAN
15,40.864615375,-73.9240615,987.4999990125,MANHATTAN
16,40.81454307692308,-73.94410053846154,961.5384605769231,MANHATTAN
17,40.763274,-73.99140588235294,999.9999990000001,MANHATTAN
18,40.77941616666667,-73.9573865,999.999999,MANHATTAN
19,40.71233733333334,-73.9980078,999.999999,MANHATTAN
20,40.730166,-74.0063635,999.999999,MANHATTAN
21,40.801741105263154,-73.93939747368421,999.999999,MANHATTAN
22,40.7296125,-73.9831865,999.9999990000001,MANHATTAN
23,40.846542,-73.935205,999.999999,MANHATTAN
24,40.771451842105265,-73.95358157894736,988.3040925789473,MANHATTAN
25,40.831428,-73.9423585,999.999999,MANHATTAN
26,40.805148631578945,-73.95015557894737,999.999999,MANHATTAN
27,40.723179933333334,-73.9890096,999.999999,MANHATTAN
28,40.716476,-74.0118430909091,999.999999,MANHATTAN
29,40.860574235294116,-73.92905805882353,999.9999990000001,MANHATTAN
30,40.7819819,-73.94690796666667,999.999999,MANHATTAN
31,40.79530218181818,-73.93507199999999,999.999999,MANHATTAN
32,40.713249391304345,-73.98462117391304,999.999999,MANHATTAN
33,40.782944384615384,-73.97800976923077,999.9999989999999,MANHATTAN
34,40.792122,-73.951961,999.9999990000001,MANHATTAN
35,40.692055,-74.01358,999.999999,MANHATTAN
36,40.81090709090909,-73.93869018181817,999.999999,MANHATTAN
37,40.793583954545454,-73.9713295,999.999999,MANHATTAN
38,40.85674,-73.937056,999.999999,MANHATTAN
39,40.763894,-73.947916,999.9999990000001,MANHATTAN
40,40.73421288888889,-73.98361529629629,999.9999990000001,MANHATTAN
41,40.845469,-73.940468,999.9999990000001,MANHATTAN
42,40.8103605625,-73.9565409375,999.999999,MANHATTAN
43,40.867826,-73.917059,999.999999,MANHATTAN
44,40.82109976923077,-73.94152976923077,999.9999989999999,MANHATTAN
45,40.85050325,-73.93318166666667,999.9999990000001,MANHATTAN
46,40.79003016666667,-73.945967,999.9999990000001,MANHATTAN
47,40.71939763636364,-73.98432395454546,999.999999,MANHATTAN
48,40.76731292857143,-73.98830507142857,999.999999,MANHATTAN
49,40.81857325,-73.94956175,999.999999,MANHATTAN
